"1055","2360","247","8"
"1054","2350","247","18"
"1053","2340","246","18"
"1052","2330","245","8"
"1051","2320","245","7"
"1050","2310","245","5"
"1049","2300","244","7"
"1048","2290","244","5"
"1047","2280","243","8"
"1046","2270","243","7"
"1045","2260","243","4"
"1044","2250","242","7"
"1043","2240","242","4"
"1042","2230","241","8"
"1041","2220","241","7"
"1040","2210","241","3"
"1039","2200","240","7"
"1038","2190","240","3"
"1037","2180","239","92"
"1036","2170","239","14"
"1035","2160","238","90"
"1034","2150","238","29"
"1033","2140","238","20"
"1032","2130","237","82"
"1031","2120","237","29"
"1029","2100","235","87"
"1028","2090","236","31"
"1027","2080","236","6"
"1030","2110","237","20"
"1023","2050","235","29"
"1020","2030","234","90"
"1021","2040","235","20"
"1025","2060","223","91"
"1017","2020","233","8"
"1016","2010","233","89"
"1015","2000","232","89"
"1013","1990","231","28"
"1012","1980","231","20"
"1011","1970","230","82"
"1010","1960","230","28"
"1009","1950","230","20"
"1008","1940","229","88"
"1007","1930","229","28"
"1005","1910","228","31"
"1006","1920","229","20"
"1003","1900","227","30"
"853","500","194","3"
"869","610","198","20"
"870","620","198","21"
"873","650","99","79"
"883","750","200","58"
"884","760","200","3"
"885","770","201","20"
"886","780","201","21"
"887","790","201","6"
"888","800","201","58"
"889","810","201","4"
"890","820","202","20"
"891","830","202","21"
"892","840","202","6"
"893","850","202","58"
"894","860","202","5"
"895","870","203","20"
"896","880","203","21"
"897","890","203","7"
"898","900","203","56"
"899","910","97","33"
"900","920","97","80"
"904","960","204","57"
"905","970","205","20"
"906","980","205","21"
"907","990","205","7"
"908","1000","205","58"
"909","1010","206","20"
"910","1020","206","24"
"945","1370","211","58"
"946","1380","211","3"
"947","1390","212","20"
"948","1400","212","22"
"949","1410","212","85"
"950","1420","212","58"
"951","1430","212","4"
"952","1440","213","20"
"953","1450","213","22"
"954","1460","213","85"
"955","1470","213","58"
"956","1480","213","5"
"957","1490","214","20"
"958","1500","214","22"
"959","1510","214","86"
"960","1520","214","56"
"961","1530","215","20"
"962","1540","215","22"
"963","1550","215","86"
"964","1560","215","57"
"965","1570","216","20"
"966","1580","216","22"
"967","1590","216","86"
"968","1600","216","58"
"969","1610","217","20"
"970","1620","217","25"
"971","1630","217","87"
"972","1640","218","20"
"973","1650","218","25"
"979","1700","220","20"
"975","1660","219","20"
"976","1670","219","25"
"977","1680","219","82"
"978","1690","218","88"
"980","1710","220","26"
"981","1720","220","87"
"982","1730","221","20"
"983","1740","221","26"
"984","1750","221","88"
"985","1760","222","20"
"986","1770","222","26"
"987","1780","222","82"
"988","1790","223","20"
"989","1800","223","27"
"1026","2070","236","3"
"991","1810","224","20"
"992","1820","224","27"
"993","1830","224","88"
"994","1840","225","20"
"995","1850","225","27"
"996","1860","225","82"
"997","1870","226","20"
"998","1880","226","28"
"1002","1890","226","87"
"1305","4860","333","76"
"1306","4870","333","64"
"1307","4880","333","62"
"1308","4890","333","96"
"1309","4900","334","76"
"1310","4910","334","64"
"1311","4920","334","61"
"1312","4930","334","96"
"1313","4940","335","76"
"1314","4950","335","64"
"1315","4960","335","61"
"1316","4970","335","97"
"1317","4980","336","76"
"1318","4990","336","64"
"1319","5000","336","62"
"1320","5010","336","97"
"1321","5020","337","76"
"1322","5030","337","64"
"1323","5040","337","99"
"1324","5050","338","76"
"1325","5060","338","65"
"1326","5070","338","61"
"1327","5080","338","96"
"1328","5090","339","76"
"1329","5100","339","65"
"1330","5110","339","62"
"1331","5120","339","96"
"1332","5130","340","76"
"1333","5140","340","65"
"1334","5150","340","62"
"1335","5160","340","97"
"1336","5170","341","76"
"1337","5180","341","65"
"1338","5190","341","61"
"1339","5200","341","97"
"1340","5210","342","35"
"1341","5220","342","2"
"1342","5230","343","36"
"1343","5240","343","2"
"1344","5250","344","37"
"1345","5260","344","2"
"1346","5270","345","51"
"1347","5280","345","2"
"1348","5290","346","52"
"1349","5300","346","2"
"1350","5310","347","13"
"1351","5320","347","2"
"1352","5330","347","38"
"1353","5340","348","13"
"1354","5350","348","41"
"1355","5360","349","13"
"1356","5370","349","39"
"1357","5380","350","13"
"1358","5390","350","44"
"1359","5400","351","13"
"1360","5410","351","42"
"1361","5420","352","13"
"1362","5430","352","43"
"1363","5440","353","13"
"1364","5450","353","75"
"1365","5460","354","13"
"1366","5470","354","48"
"1367","5480","355","13"
"1368","5490","355","49"
"1369","5500","356","13"
"1370","5510","356","50"
"1371","5520","357","100"
"1372","5530","358","100"
"1373","5540","359","13"
"1374","5550","359","101"
"1375","5560","360","13"
"1377","5570","360","21"
"1378","5580","361","45"
"1379","5590","362","46"
"1380","5600","363","46"
"1381","5610","363","11"
"1382","5620","364","45"
"1383","5630","364","11"
"1384","5640","365","20"
